ID;user_id;noteTitle;note
11111111-9999-0000-1111-222222220001;11111111-1111-1111-1111-111111111102;VIP Seller;Top seller on the platform! 500+ successful transactions. Zero disputes. Consider featuring on homepage. Good communication with customers.
11111111-9999-0000-1111-222222220002;11111111-1111-1111-1111-111111111103;Frequent dispute participant;This user opens disputes on 30% of purchases. Often claims keys are invalid but evidence suggests they are trying to get free games. Monitor closely.
11111111-9999-0000-1111-222222220003;11111111-1111-1111-1111-111111111105;Reliable seller;Good seller with consistent positive feedback. Responds to customer queries within 2 hours. Recommended for promotion.
11111111-9999-0000-1111-222222220004;11111111-1111-1111-1111-111111111106;Payment issues;User's credit card was declined 5 times in last month. Suspect possible fraud. Temporarily flagged account until verification.
11111111-9999-0000-1111-222222220005;11111111-1111-1111-1111-111111111108;Fast delivery champion;This seller consistently delivers keys within 5 minutes of purchase. Customer favorite. Awarded Lightning Delivery badge.
11111111-9999-0000-1111-222222220006;11111111-1111-1111-1111-111111111110;Needs password reset help;User contacted support 4 times this month about password recovery. Seems technically challenged. Consider sending detailed guide.
11111111-9999-0000-1111-222222220007;11111111-1111-1111-1111-111111111111;Potential scammer warning;Received 3 reports from different sellers claiming user requested refund after activating keys. Under investigation. Temporarily restricted purchasing.
11111111-9999-0000-1111-222222220008;11111111-1111-1111-1111-111111111113;High value customer;Spent over $2000 on the platform this year. Always leaves constructive feedback. Send holiday discount code as loyalty reward.
11111111-9999-0000-1111-222222220009;11111111-1111-1111-1111-111111111117;Excellent seller;Perfect 5-star rating from 150 reviews. Quick responses and fair prices. Featured seller program candidate.
11111111-9999-0000-1111-222222220010;11111111-1111-1111-1111-111111111118;Region lock confusion;User frequently buys wrong region keys then complains. Already explained region restrictions twice. Suggest adding region warning popup for this user.
11111111-9999-0000-1111-222222220011;11111111-1111-1111-1111-111111111120;Aggressive communication;Several sellers reported user uses aggressive language in chats. Warning issued. One more complaint will result in temporary ban.
11111111-9999-0000-1111-222222220012;11111111-1111-1111-1111-111111111122;New seller onboarding;Just completed verification. Needs mentoring on platform policies. Assigned to seller support team for first month follow-up.
11111111-9999-0000-1111-222222220013;11111111-1111-1111-1111-111111111123;Bulk buyer;Purchases keys in bulk (20+ at a time). Likely reselling elsewhere. Platform policy allows this. Monitor for ToS violations but no action needed yet.
11111111-9999-0000-1111-222222220014;11111111-1111-1111-1111-111111111125;Chargeback risk;User initiated chargeback with bank after receiving key. Dispute resolved in seller's favor. Flagged account - future purchases require manual approval.
11111111-9999-0000-1111-222222220015;11111111-1111-1111-1111-111111111129;Trusted seller;Long-term seller with excellent reputation. Zero complaints in 2 years. Granted automatic payout without holding period. Model seller.
11111111-9999-0000-1111-222222220016;11111111-1111-1111-1111-111111111131;Language barrier;User speaks only French. Support team uses translation tools. Responses delayed but user is cooperative. Consider hiring French-speaking support.
11111111-9999-0000-1111-222222220017;11111111-1111-1111-1111-111111111133;Price manipulation suspected;User lists same products at 50% below market price. Possibly selling stolen keys. Investigation ongoing. Account on hold.
11111111-9999-0000-1111-222222220018;11111111-1111-1111-1111-111111111136;Frequent feature requester;User sends detailed suggestions every week. Some were actually implemented! Valuable feedback source. Consider adding to beta tester program.
11111111-9999-0000-1111-222222220019;11111111-1111-1111-1111-111111111138;Seller with niche inventory;Specializes in rare and retro game keys. Attracts unique customer base. Platform benefits from this seller's presence. Promote in newsletter.
11111111-9999-0000-1111-222222220020;11111111-1111-1111-1111-111111111143;Warning - multiple account suspicion;User appears to have 3 alt accounts. Platform allows only one account per person. Investigation started. Will keep main account and ban duplicates.
11111111-9999-0000-1111-222222220021;11111111-1111-1111-1111-111111111147;Top reviewer;Leaves detailed, helpful reviews on 90% of purchases. Very active community member. Awarded Community Hero badge.
11111111-9999-0000-1111-222222220022;11111111-1111-1111-1111-111111111149;Technical issues;User reports constant download problems. Likely issue on their ISP side. Suggested using VPN. Case closed but monitor for recurring complaints.
